AvgPulse,Ectopic-R,LnRMSSD,NN20,NN50,RMSSD,RMSSD_H,SDNN,SDSD,cadence,distance,fractional_cadence,heart_rate,pNN20,pNN50,timestamp,unknown_134,unknown_144,unknown_87,unknown_108,unknown_143
80,0,194.56724548339844,35,16,48.976722717285156,0.0,117.08924865722656,32.17765426635742,0,0.0,0.0,69,60.344825744628906,27.586206436157227,2025-11-17 15:21:45,100.0,69,0.0,1693.0,52.0
80,0,194.15072631835938,35,16,48.5704231262207,0.0,116.49564361572266,32.08652877807617,0,0.0,0.0,69,59.3220329284668,27.11864471435547,2025-11-17 15:21:46,100.0,69,0.0,1680.0,52.0
80,0,194.15072631835938,35,16,48.5704231262207,0.0,116.49564361572266,32.08652877807617,0,0.0,0.0,69,59.3220329284668,27.11864471435547,2025-11-17 15:21:47,,69,0.0,1680.0,52.0
80,2,194.15072631835938,35,16,48.5704231262207,0.0,116.49564361572266,32.08652877807617,0,0.0,0.0,69,59.3220329284668,27.11864471435547,2025-11-17 15:21:48,100.0,69,64681.0,1680.0,52.0
80,0,201.50296020507812,37,18,56.264259338378906,0.0,115.42237091064453,39.3317985534668,0,0.0,0.0,69,60.655738830566406,29.508195877075195,2025-11-17 15:21:49,100.0,69,0.0,1680.0,52.0
79,0,201.781494140625,38,19,56.57854080200195,0.0,114.55615234375,39.23390197753906,0,0.0,0.0,70,61.290321350097656,30.645160675048828,2025-11-17 15:21:50,100.0,70,0.0,1680.0,52.0
79,0,201.781494140625,38,19,56.57854080200195,0.0,114.55615234375,39.23390197753906,0,0.0,0.0,70,61.290321350097656,30.645160675048828,2025-11-17 15:21:51,100.0,70,0.0,1671.0,52.0
79,0,201.38536071777344,38,19,56.13204574584961,0.0,113.67198181152344,39.117225646972656,0,0.0,0.0,69,60.31745910644531,30.158729553222656,2025-11-17 15:21:52,100.0,69,0.0,1671.0,52.0
79,0,201.1080322265625,39,19,55.82156753540039,0.0,112.97972106933594,38.82160186767578,0,0.0,0.0,63,60.9375,29.6875,2025-11-17 15:21:53,100.0,63,0.0,1671.0,52.0
79,0,200.4442138671875,40,19,55.08538818359375,0.0,112.24342346191406,38.475772857666016,0,0.0,0.0,62,60.60606002807617,28.787878036499023,2025-11-17 15:21:54,100.0,62,59281.0,1671.0,52.0
78,0,201.60398864746094,41,20,56.3780517578125,0.0,114.01288604736328,39.20750427246094,0,0.0,0.0,62,61.19403076171875,29.850746154785156,2025-11-17 15:21:55,100.0,62,59281.0,1671.0,52.0
78,0,201.60398864746094,41,20,56.3780517578125,0.0,114.01288604736328,39.20750427246094,0,0.0,0.0,61,61.19403076171875,29.850746154785156,2025-11-17 15:21:56,100.0,61,0.0,1744.0,52.0
78,0,202.07879638671875,43,21,56.915958404541016,0.0,117.55520629882812,39.10088348388672,0,0.0,0.0,64,62.31884002685547,30.434782028198242,2025-11-17 15:21:57,100.0,64,0.0,1744.0,52.0
78,0,201.88584899902344,44,21,56.69675064086914,0.0,118.8497543334961,38.81728744506836,0,0.0,0.0,66,62.85714340209961,30.0,2025-11-17 15:21:58,100.0,66,0.0,1744.0,52.0
78,0,201.705810546875,45,21,56.49298095703125,0.0,120.99640655517578,38.53921890258789,0,0.0,0.0,66,63.38028335571289,29.577465057373047,2025-11-17 15:21:59,100.0,66,0.0,1744.0,52.0
77,0,202.91285705566406,46,22,57.87334442138672,0.0,120.74580383300781,39.38275909423828,0,0.0,0.0,65,63.88888931274414,30.55555534362793,2025-11-17 15:22:00,100.0,65,0.0,1744.0,52.0
77,0,202.91285705566406,46,22,57.87334442138672,0.0,120.74580383300781,39.38275909423828,0,0.0,0.0,62,63.88888931274414,30.55555534362793,2025-11-17 15:22:01,100.0,62,0.0,1596.0,52.0
77,0,202.77516174316406,47,22,57.71421432495117,0.0,120.08319091796875,39.109771728515625,0,0.0,0.0,61,64.38356018066406,30.136985778808594,2025-11-17 15:22:02,100.0,61,0.0,1596.0,52.0
77,0,202.44296264648438,47,22,57.332008361816406,0.0,119.50594329833984,39.0094108581543,0,0.0,0.0,61,63.513511657714844,29.7297306060791,2025-11-17 15:22:03,100.0,61,0.0,1596.0,52.0
77,0,203.85531616210938,48,23,58.974571228027344,0.0,120.86257934570312,40.122562408447266,0,0.0,0.0,60,64.0,30.66666603088379,2025-11-17 15:22:04,100.0,60,0.0,1596.0,52.0
76,0,204.0344696044922,50,25,59.18626022338867,0.0,124.6710205078125,39.772560119628906,0,0.0,0.0,59,64.93506622314453,32.467533111572266,2025-11-17 15:22:05,,59,0.0,1596.0,52.0
76,0,204.0344696044922,50,25,59.18626022338867,0.0,124.6710205078125,39.772560119628906,0,0.0,0.0,61,64.93506622314453,32.467533111572266,2025-11-17 15:22:06,100.0,61,0.0,1536.0,52.0
76,0,203.7454071044922,52,26,58.8450813293457,0.0,126.56404876708984,39.32927322387695,0,0.0,0.0,62,65.82278442382812,32.91139221191406,2025-11-17 15:22:07,100.0,62,0.0,1536.0,52.0
76,0,203.43145751953125,52,26,58.47676086425781,0.0,128.0408477783203,39.29197692871094,0,0.0,0.0,62,65.0,32.5,2025-11-17 15:22:08,100.0,62,0.0,1536.0,52.0
76,0,204.7962646484375,53,27,60.09492492675781,0.0,127.51422882080078,40.41733169555664,0,0.0,0.0,63,65.43209838867188,33.33333206176758,2025-11-17 15:22:09,100.0,63,0.0,1536.0,52.0
75,0,204.6629638671875,55,28,59.9349250793457,0.0,128.3274383544922,40.03025817871094,0,0.0,0.0,65,66.26506042480469,33.73493957519531,2025-11-17 15:22:10,100.0,65,0.0,1536.0,52.0
75,0,204.6629638671875,55,28,59.9349250793457,0.0,128.3274383544922,40.03025817871094,0,0.0,0.0,65,66.26506042480469,33.73493957519531,2025-11-17 15:22:11,100.0,65,0.0,1575.0,52.0
75,0,204.738037109375,56,29,60.024993896484375,0.0,128.05322265625,39.865142822265625,0,0.0,0.0,62,66.66666412353516,34.52381134033203,2025-11-17 15:22:12,100.0,62,0.0,1575.0,52.0
75,0,204.86831665039062,57,30,60.18157196044922,0.0,127.33170318603516,39.73836898803711,0,0.0,0.0,60,67.05882263183594,35.29411697387695,2025-11-17 15:22:13,100.0,60,0.0,1575.0,52.0
75,0,205.63540649414062,59,32,61.11198043823242,0.0,128.0208282470703,40.059383392333984,0,0.0,0.0,60,67.81609344482422,36.78160858154297,2025-11-17 15:22:14,100.0,60,0.0,1575.0,52.0
75,0,205.63540649414062,59,32,61.11198043823242,0.0,128.0208282470703,40.059383392333984,0,0.0,0.0,60,67.81609344482422,36.78160858154297,2025-11-17 15:22:15,,60,0.0,1523.0,52.0
75,0,205.43101501464844,60,32,60.862667083740234,0.0,129.6802215576172,39.852169036865234,0,0.0,0.0,60,68.18181610107422,36.3636360168457,2025-11-17 15:22:16,100.0,60,0.0,1523.0,52.0
74,0,205.8501739501953,61,33,61.375057220458984,0.0,129.723388671875,39.98164367675781,0,0.0,0.0,60,68.5393295288086,37.078651428222656,2025-11-17 15:22:17,100.0,60,0.0,1523.0,52.0
74,0,205.68212890625,62,33,61.169132232666016,0.0,130.2556915283203,39.76384735107422,0,0.0,0.0,60,68.88888549804688,36.66666793823242,2025-11-17 15:22:18,100.0,60,0.0,1523.0,52.0
74,0,206.0302734375,63,34,61.596534729003906,0.0,129.78631591796875,39.83244705200195,0,0.0,0.0,60,69.23076629638672,37.36263656616211,2025-11-17 15:22:19,100.0,60,0.0,1523.0,52.0
74,0,205.75994873046875,63,34,61.26442337036133,0.0,129.26528930664062,39.807762145996094,0,0.0,0.0,60,68.47826385498047,36.956520080566406,2025-11-17 15:22:20,100.0,60,0.0,1523.0,52.0
74,0,205.5663299560547,64,34,61.02761459350586,0.0,128.9798126220703,39.61489486694336,0,0.0,0.0,60,68.81720733642578,36.559139251708984,2025-11-17 15:22:21,100.0,60,0.0,1448.0,52.0
74,0,205.5663299560547,64,34,61.02761459350586,0.0,128.9798126220703,39.61489486694336,0,0.0,0.0,60,68.81720733642578,36.559139251708984,2025-11-17 15:22:22,,60,0.0,1448.0,52.0
74,0,205.6231231689453,66,35,61.09697341918945,0.0,127.77010345458984,39.370811462402344,0,0.0,0.0,60,69.47368621826172,36.842105865478516,2025-11-17 15:22:23,100.0,60,0.0,1448.0,52.0
73,0,205.543212890625,67,36,60.99939727783203,0.0,127.31586456298828,39.165771484375,0,0.0,0.0,60,69.79166412353516,37.5,2025-11-17 15:22:24,100.0,60,0.0,1448.0,52.0
73,0,205.0811309814453,68,36,60.438262939453125,0.0,126.47693634033203,38.94696044921875,0,0.0,0.0,60,69.38775634765625,36.73469543457031,2025-11-17 15:22:25,100.0,60,0.0,1448.0,52.0
73,2,205.0811309814453,68,36,60.438262939453125,0.0,126.47693634033203,38.94696044921875,0,0.0,0.0,60,69.38775634765625,36.73469543457031,2025-11-17 15:22:26,100.0,60,0.0,1438.0,52.0
